name,religion,dob,image_urls,political_carrer,civil_status,images,party,occupation
"Hon. Dissanayake, Mudiyansege Suddahamy, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/2202.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2202.jpg', 'path': 'full/24beaa14e6dd8d497bc54cd6a465eb060185378e.jpg', 'checksum': '1ce57c9cfdce57226e10f5dfdf1eb2cd'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Dissanayake, Lionel Gamini, M.P.", : Buddhism, : 20-03-1942,http://parliament.lk/uploads/images/members/profile_images/thumbs/2201.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2201.jpg', 'path': 'full/fe6e260a08438e6b929bb96f7a1b85708a3fb942.jpg', 'checksum': '0f365eb2b838806ebeed841dbecb92be'}]",United National Party (UNP),
"Hon. Dissanayake, Jayasinghe Muhandiram Donald, M.P.", : Buddhism, : 09-07-1941,http://parliament.lk/uploads/images/members/profile_images/thumbs/2200.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2200.jpg', 'path': 'full/9d4685095e9ec458b230f66d5d00c1cb95354e65.jpg', 'checksum': '9a91fbdc66381a25a03f30502fc52669'}]",United National Party (UNP),
"Hon. Dissanayake, Henry William, M.P.",, : 03-02-1924,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Dissanayake, Lalitchandra Buddhisiri, M.P.", : Buddhism, : 19-11-1955,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",People's Alliance (PA),
"Hon. Dissanayake, Dissanayake Mudiyanselage Andrew, M.P.",, : 07-11-1910,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. (Mrs.) Dissanayake, Dissanayke  Wannokuralalage Amara Badra, M.P.", : Buddhism, : 06-05-1949,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_f.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_f.jpg', 'path': 'full/f0c4e89c8a3bec06c9474955034d73a51d16f623.jpg', 'checksum': 'fbc01efbac27fa007e0e629617701c6e'}]",United National Party (UNP),
"Hon. Dissanayake, Berty Premalal, M.P.", : Buddhism, : 15-07-1954,http://parliament.lk/uploads/images/members/profile_images/thumbs/2196.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2196.jpg', 'path': 'full/62e0d75d5bbbda5eee7d9a4f2c6426fdf922803c.jpg', 'checksum': '3bd1bc6332436f5688828f80563809cb'}]",People's Alliance (PA),
"Hon. ROHANA DISSANAYAKE, M.P.,, M.P.", : Buddhism, : 09-03-1958,http://parliament.lk/uploads/images/members/profile_images/thumbs/1436.jpg,"Leader of Oposition Matale Municipla Council 1991;
Mayor Matale 1997;
Leader of Oposition Matale Municiple Council 2002
Temparalary Consulter World Helth Organization Soluth Asia region", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1436.jpg', 'path': 'full/a6c2d0fb6c84189399b23d4f2c98764cafc64c63.jpg', 'checksum': 'faed4a7bb95b5d10276009f51965cb08'}]",United People's Freedom Alliance(UPFA), : Businessman
"Hon. D.M. JAYARATNE, M.P.,, M.P.", : Buddhism, : 04-06-1931,http://parliament.lk/uploads/images/members/profile_images/thumbs/92.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/92.jpg', 'path': 'full/46d2f8a3db0d4cad4eda970b88714b50569ded1a.jpg', 'checksum': 'd48dbe07e10c1851e3d8d25b7daa4eea'}]",United People's Freedom Alliance(UPFA),
"Hon. (Mrs.) Dharmawardana, Wendakoon Mudiyanselage Sujatha Kanthimathie, M.P.", : Buddhism, : 25-09-1951,http://parliament.lk/uploads/images/members/profile_images/thumbs/2193.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2193.jpg', 'path': 'full/dacfbf31b54436ffb90aebb0cb9034d000c966fd.jpg', 'checksum': '875cb626dd56a574ce8cfd3f92833bc1'}]",United National Party (UNP),
"Hon. Dias, Don Vincent, M.P.", : Buddhism, : 29-05-1944,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Dimbulane, Edmund Bernard, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Dharmaratnam, Sabapathipillai, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",,
"Hon. Dharmapala, Candauda Arachchige, M.P.",, : 04-08-1907,http://parliament.lk/uploads/images/members/profile_images/thumbs/2191.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2191.jpg', 'path': 'full/97a120d40d112cd6b2fd5a1f605a02b971acc5f8.jpg', 'checksum': '432f7d997ab5177b998d2df23294722b'}]",United National Party (UNP),
"Hon. Dharmalingam,  Viswanathar, M.P.", : Hindu, : 05-02-1918,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Tamil United Liberation Front (TULF),
"Hon. DEW GUNASEKARA, M.P.,, M.P.", : Buddhism, : 04-03-1935,http://parliament.lk/uploads/images/members/profile_images/thumbs/1487.jpg,Member of Parliamnent for Kalawana Electorate., : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1487.jpg', 'path': 'full/c6b2374870c173deef894ecfff4cb06eb283aea6.jpg', 'checksum': 'ff92742131dfafd97f8a6eb699554d80'}]",United People's Freedom Alliance(UPFA),
"Hon. Devaraj, Periannan Pillai, M.P.", : Hindu, : 21-02-1929,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Delungahawatta, Wijetunga Mudiyanse Ralahamilage Sirisena Bandara, M.P.",, : 07-03-1916,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Devanayagam, Kanapathipillai William, M.P.", : Roman Catholicism, : 26-03-1910,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Zoysa, Rannulu Nandimitthra G., M.P.",, : 09-04-1947,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. de Zoysa, Stanley, M.P.",, : 24-06-1907,http://parliament.lk/uploads/images/members/profile_images/thumbs/2185.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2185.jpg', 'path': 'full/6869482a7ddf125d0b0197956a86021a32b4a970.jpg', 'checksum': 'e6bd8f66c8d945026916c7fe15e5673f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Jayawardena, Asoka, M.P.",, : 27-09-1937,http://parliament.lk/uploads/images/members/profile_images/thumbs/277.jpg,Mayor of the Ratnapura Municipal Council; Minister of the Sabaragamuwa Provincial; Chief Minister of the Sabaragamuwa Provincial Council, : Widow ,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/277.jpg', 'path': 'full/1948593b050a0920d249df4f1aadfb3c61bb147d.jpg', 'checksum': 'f17d498c54bb27a1c77b347ec2583c6e'}]",People's Alliance (PA), : Management  Advisor
"Hon. de Zoysa, Manameldura Piyadasa, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/2183.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2183.jpg', 'path': 'full/242da7c274cb7a728d68dbb9fabd692fe7cc2c0d.jpg', 'checksum': '0749d01ee998f5587a5f34578e8bbf24'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Zoysa, Hondamuni Ian Aloysious, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. de Zoysa, Garumuni Robert, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Ceylon National Congress (CNC),
"Hon. de Zoysa, Garumuni Arthur Wickremaratne, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/2180.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2180.jpg', 'path': 'full/63c709ea0593803042331e88773437167cfa7871.jpg', 'checksum': '1a51bbb6fc852476d5da73049babb57a'}]",United National Party (UNP),
"Hon. de Zoysa, Francis, M.P.",, : 28-04-1873,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. de Zoysa, Erathnawalli Indrasena, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. De Zoysa, Ajantha, M.P.", : Buddhism, : 09-10-1957,http://parliament.lk/uploads/images/members/profile_images/thumbs/284.jpg,Member Southern Provincial Council., : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/284.jpg', 'path': 'full/298004b242dcad3450513c47aed2f7ea7f612dc6.jpg', 'checksum': 'a188c5acaefd74bdb1175a0070e33cc9'}]",People's Alliance (PA), : Company Director
"Hon. (Dr.) de Zoysa, Agampodi Paulus, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. De Silva, Yakupiti Piyasena, M.P.", : Buddhism, : 09-12-1931,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",People's Alliance (PA),
"Hon. de Silva, Walwin Arnold, M.P.",, : 12-04-1902,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Independent (Ind),
"Hon. de Silva, Wilmot Arthur, M.P.",, : 15-03-1869,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Ceylon National Congress (CNC),
"Hon. (Dr.) de Silva, Walinetti Danister, M.P.",, : 20-09-1921,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Silva, Pettagan Dedreck Weerasingha, M.P.",, : 21-01-1935,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Lanka Sama Samaja Party (LSSP),
"Hon. de Silva, Ruwanpura Lakshman, M.P.",, : 15-10-1916,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Silva, Lokuge Chandradasa, M.P.",, : 31-08-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Lanka Sama Samaja Party (LSSP),
"Hon. De Silva, Asoka Weerasinghe, M.P.", : Buddhism, : 16-10-1943,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",People's Alliance (PA),
"Hon. de Silva, Peduru Hewa William, M.P.",, : 08-12-1908,http://parliament.lk/uploads/images/members/profile_images/thumbs/2171.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2171.jpg', 'path': 'full/01faa42c1a217db89a7c5d1504f832f55c70db36.jpg', 'checksum': '81db848644ea34ffb39fed761c5a6f54'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Silva, Makalandage Joseph, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. de Silva, Merril Vernon, M.P.",, : 14-03-1917,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. de Silva, Kutti Chulananda, M.P.",, : 16-10-1913,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Silva, Hettihewage Chandraman, M.P.",, : 03-12-1948,http://parliament.lk/uploads/images/members/profile_images/thumbs/2163.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2163.jpg', 'path': 'full/61b7eff37fd36af88242b1ca6426bf5c8734ccfd.jpg', 'checksum': 'bf4e2c2d21fc6c59ba4f8077dae6a81d'}]",United National Party (UNP),
"Hon. de Silva, Gonapeenuwala Vithanage Sirisena, M.P.",, : 06-03-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. de Silva, George Edmund, M.P.",, : 08-06-1879,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Silva, Dangedera Gamage Albert, M.P.",, : 16-06-1917,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Silva, George Reginald, M.P.",, : 08-08-1898,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Silva, Edmund Fredrick Lorenz, M.P.", : Roman Catholicism,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. (Dr.) de Silva, Colvin Reginald, M.P.",, : 16-02-1907,http://parliament.lk/uploads/images/members/profile_images/thumbs/2157.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2157.jpg', 'path': 'full/9403370054c73839331022b07c35baaa16da8d04.jpg', 'checksum': '02db6501069c935556af9869f7510bbb'}]",Lanka Sama Samaja Party (LSSP),
"Hon. de Silva, Charles Percival, M.P.",, : 16-04-1912,http://parliament.lk/uploads/images/members/profile_images/thumbs/2156.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2156.jpg', 'path': 'full/f86f7e97f266010352d08a8b2f394bf1129acf4d.jpg', 'checksum': '0fa885d73f5a5dc00fc636462982bc8d'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Silva, Charles Edward Perry, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/2155.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2155.jpg', 'path': 'full/bd091cbb4a9cd7f42d3d1a80231e2a66c195c976.jpg', 'checksum': '0fa885d73f5a5dc00fc636462982bc8d'}]",,
"Hon. de Silva, Arthur Hubert, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. de Mel, Vidanalage Wimalasiri Premanatha, M.P.",, : 31-07-1929,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Lanka Sama Samaja Party (LSSP),
"Hon. De Mel, Ronald Joseph Godfrey, M.P.",, : 11-04-1925,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,Resigned from the old Ceylon Civil Service and entered Parliament in 1967;  Was a Member of every Parliament since then., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",People's Alliance (PA),
"Hon. de Mel, Reginald Abraham, M.P.",, : 08-11-1894,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Mel, Hugh Edmund Peter, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. de Mel, Henry Lawson, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Ceylon National Congress (CNC),
"Hon. de Fonseka, Kalutarawedage Deepal Susantha, M.P.",, : 25-04-1900,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Independent (Ind),
"Hon. de Alwis, William Neal, M.P.",, : 19-01-1914,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Lanka Sama Samaja Party (LSSP),
"Hon. (Dr.) de Alwis, Maha Amarasinghage Anandatissa, M.P.",, : 21-08-1919,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. (Ven.) Dayarathana Thero, Akmeemana Thero, M.P.", : Buddhism, : 24-12-1970,http://parliament.lk/uploads/images/members/profile_images/thumbs/1523.jpg,Started Politics as a member of Sihala Urumaya Party, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1523.jpg', 'path': 'full/9daabe2874626c55c7dc1c91709410d480527456.jpg', 'checksum': 'b15181f850f28dfdfbcb6d683ae416ab'}]",Jathika Hela Urumaya (JHU),
"Hon. Dassenaike, Stephen William, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",LabourParty (LP),
"Hon. Dassanayake, Hewananarachchige Ivan Tiddy, M.P.",, : 10-03-1910,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Dassanayake Mudiyanselage Shantha Kumara, M.P.",, : 16-08-1957,http://parliament.lk/uploads/images/members/profile_images/thumbs/285.jpg,"Organizer, Kotmale S. L. F. P. for 04 Years; 02 Years of the Central Province M. P; With Mr. Ananda Dassanayaker\'s Political Life", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/285.jpg', 'path': 'full/48e048c80905beeeb59988d90b4ff42f60820277.jpg', 'checksum': 'c19c137bebe54c7a741d19f1d51997b0'}]",People's Alliance (PA), : Business
"Hon. Dassanayake, Dassanayake Mudiyanselage Loku Banda, M.P.", : Buddhism, : 14-04-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Dassanayake, Upali Mervyn Senarath, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Dassanayake, Dassanayake Mudiyanselage Ananda, M.P.",, : 16-04-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/2140.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2140.jpg', 'path': 'full/23b981a31645ae6b4eed58ca728b8487278b8565.jpg', 'checksum': 'fd6dbe2a6e16f1e567f29c20d79ccc6f'}]",Sri Lanka Freedom Party(SLFP),
